,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url,Unnamed: 0
928,80.2 x 153 x 14.85 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",236 g,"2 GB, 533 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"4400 mAh, Li-Ion",https://www.devicespecifications.com/en/model/9aa553dd,563.0
929,80.2 x 171.28 x 19.45 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",408 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"13000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d6fb51e3,236.0
930,81 x 162.2 x 14.8 mm,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 650 MHz,",275 g,"4 GB, 933 MHz",64 GB,"5.7 in, IPS, 1080 x 2160 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"6580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/1bef4bc3,232.0
931,81 x 162.8 x 15.9 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",284 g,"6 GB, 1600 MHz",64 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5180 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c71a5436,
932,81 x 164 x 15.5 mm,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 650 MHz,",287 g,"4 GB, 933 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.0,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d19448f6,
933,81 x 164 x 15.5 mm,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 650 MHz,",287 g,"4 GB, 933 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.0,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d19448f6,
934,81 x 165.85 x 13.55 mm,"2x 2.2 GHz ARM Cortex-A75, 6x 2.0 GHz ARM Cortex-A55,","IMG 9XM-HP8 (PowerVR GM9446), 900 MHz",290 g,"4 GB, 1866 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"5500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/2540533d,192.0
935,81 x 165.85 x 13.55 mm,"2x 2.2 GHz ARM Cortex-A75, 6x 2.0 GHz ARM Cortex-A55,","IMG 9XM-HP8 (PowerVR GM9446), 900 MHz",290 g,"4 GB, 1866 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"5500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/2540533d,193.0
936,81 x 168.5 x 14.8 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",322 g,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"6580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0ddf5241,247.0
937,81 x 168.5 x 14.8 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",322 g,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"6580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0ddf5241,248.0
938,81 x 168.5 x 14.8 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",322 g,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"6580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c0cf5240,249.0
939,81 x 174 x 17 mm,"2x 2.2 GHz ARM Cortex-A75, 6x 2.0 GHz ARM Cortex-A55,","IMG 9XM-HP8 (PowerVR GM9446), 900 MHz",,"8 GB, 1866 MHz",128 GB,"6.53 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"8000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3f4c53e5,
940,81 x 174 x 17.3 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"10000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5a0d533e,
941,81 x 174 x 17.3 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"10000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5a0d533e,
942,81.3 x 165.9 x 16.5 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",283 g,"6 GB, 1800 MHz",128 GB,"5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"4380 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b654506e,245.0
943,81.3 x 165.9 x 16.5 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",283 g,"6 GB, 1800 MHz",128 GB,"5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"4380 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b654506e,246.0
944,81.4 x 162.9 x 12.85 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",268 g,"4 GB, 1800 MHz",128 GB,"6.21 in, AMOLED, 1080 x 2248 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5bd3537c,244.0
945,81.4 x 162.9 x 12.85 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",268 g,"6 GB, 1800 MHz",128 GB,"6.21 in, Super AMOLED, 1080 x 2248 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/45e45213,240.0
946,81.4 x 162.9 x 12.85 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",268 g,"6 GB, 1800 MHz",128 GB,"6.21 in, Super AMOLED, 1080 x 2248 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/45e45213,241.0
947,81.4 x 162.9 x 12.85 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",268 g,"6 GB, 1800 MHz",128 GB,"6.21 in, Super AMOLED, 1080 x 2248 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/45e45213,242.0
948,81.4 x 162.9 x 12.85 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",268 g,"6 GB, 1800 MHz",128 GB,"6.21 in, Super AMOLED, 1080 x 2248 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/45e45213,243.0
949,81.4 x 164.45 x 15 mm,"4x 2.6 GHz ARM Cortex-A53, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-T880 MP2, 1000 MHz,",284 g,"4 GB, 1600 MHz",64 GB,"5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5a8353be,233.0
950,81.4 x 167 x 15.5 mm,"2x 2.05 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G76 3EEMC4, 700 MHz,",310 g,"8 GB, 2133 MHz",128 GB,"6.22 in, IPS, 720 x 1520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/94a054ce,
951,81.4 x 167 x 15.5 mm,"2x 2.05 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G76 3EEMC4, 700 MHz,",310 g,"8 GB, 2133 MHz",128 GB,"6.22 in, IPS, 720 x 1520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/94a054ce,
952,81.4 x 167 x 15.5 mm,"2x 2.05 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G76 3EEMC4, 700 MHz,",310 g,"8 GB, 2133 MHz",128 GB,"6.22 in, IPS, 720 x 1520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/94a054ce,
953,81.4 x 168 x 12.6 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",251 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","5.99 in, IPS, 1080 x 2160 pixels, 24 bit","4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.0,"5400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d8034dc5,182.0
954,81.4 x 168 x 12.6 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",251 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","5.99 in, IPS, 1080 x 2160 pixels, 24 bit","4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.0,"5400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d8034dc5,183.0
955,81.5 x 167.5 x 10.5 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",216 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","5.99 in, TFT, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4100 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0c0d5030,
956,81.5 x 167.5 x 10.5 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",216 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","5.99 in, TFT, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4100 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0c0d5030,
957,81.5 x 167.5 x 10.5 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",216 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","5.99 in, TFT, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4100 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0c0d5030,
