dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
75.8 x 155.9 x 6.99 mm,"2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo,","Qualcomm Adreno 530, 624 MHz",163 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.5 in, AMOLED, 1440 x 2560 pixels, 24 bit","5312 x 3984 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1f303c85
73.4 x 148.35 x 9.45 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 508, 700 MHz",163 g,"3 GB, 4 GB, 6 GB, 1333 MHz","32 GB, 64 GB","5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/cd7c452f
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"6 GB, 1866 MHz",128 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5ced468a
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"6 GB, 1866 MHz",128 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5ced468a
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"6 GB, 1866 MHz",128 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5ced468a
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"6 GB, 1866 MHz",128 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5ced468a
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"4 GB, 6 GB, 1866 MHz",64 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/76ab44ae
76 x 155.8 x 6.1 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",143 g,"4 GB, 6 GB, 1866 MHz",64 GB,"5.5 in, P-OLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"2730 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/76ab44ae
76.2 x 156.2 x 5.99 mm,"8x 2.2 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 650 MHz",145 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9ebb439f
76.2 x 156.2 x 5.99 mm,"8x 2.2 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 650 MHz",145 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9ebb439f
