dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery
75 x 164.4 x 8.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.7 GHz ARM Cortex-A55,","ARM Mali-G52 2EEMC2, 820 MHz",195 g,"3 GB, 4 GB, 1800 MHz","32 GB, 64 GB","6.52 in, IPS, 720 x 1600 pixels, 24 bit","4032 x 3096 pixels, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
76.44 x 157.05 x 8.5 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 800 MHz,",190 g,"8 GB, 1800 MHz","128 GB, 256 GB","6.4 in, IPS, 1080 x 2310 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"4200 mAh, Li-Polymer"
78.36 x 169.2 x 10.5 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",,"2 GB, 666 MHz","32 GB, 64 GB","6.8 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer"
76.35 x 163.98 x 8.9 mm,"1x 3.3 GHz Cortex-X4, 5x 3.2 GHz Cortex-A720, 2x 2.3 GHz Cortex-A520","Qualcomm Adreno 750, 903 MHz",229 g,"16 GB, 24 GB, 4266 MHz","256 GB, 512 GB, 1024 GB","6.8 in, AMOLED, 1116 x 2480 pixels, 30 bit","8190 x 6120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Wi-Fi 7 (be), Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.3,"5500 mAh, Li-Polymer"
71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer"
71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer"
71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer"
79 x 152.5 x 12.5 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 598 MHz",213 g,"2 GB, 667 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3500 mAh, Li-Polymer"
76.1 x 164.2 x 8.15 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",181 g,"3 GB, 1600 MHz",32 GB,"6.55 in, IPS, 720 x 1600 pixels, 24 bit","16 MP, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4000 mAh, Li-Polymer"
76.1 x 164.2 x 8.15 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",181 g,"3 GB, 1600 MHz",32 GB,"6.55 in, IPS, 720 x 1600 pixels, 24 bit","16 MP, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4000 mAh, Li-Polymer"
