,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
679,98518.0,14.0,600.0,177.0,32.0,855,1,6.34,128.0,3500.0,5.0,4697.0,One Action 4/128GB XT2013-2 White
681,118802.0,47.0,610.0,213.0,128.0,1148,15,6.5,128.0,5000.0,5.0,7071.0,One Fusion+ 6/128GB Blue (PAJW0006RS)
682,114981.0,7.0,550.0,193.0,32.0,531,3,6.5,128.0,4000.0,4.2,8261.0,One Hyper XT2027-1 4/128GB Deep Sea Blue
699,111171.0,24.0,520.0,167.0,64.0,711,1,6.1,128.0,3650.0,4.1,14906.0,P30 8/128GB Black
700,111171.0,24.0,520.0,167.0,64.0,856,3,6.15,128.0,3340.0,4.1,5821.0,P30 Lite 4/128GB Breathing Crystal
701,111171.0,24.0,520.0,167.0,64.0,1000,17,6.15,256.0,3340.0,4.1,6257.0,P30 Lite 6/256GB Peacock Blue
702,111171.0,24.0,520.0,167.0,64.0,1056,14,6.47,128.0,4200.0,4.1,16997.0,P30 Pro 6/128GB Black (51093TFT)
703,111171.0,24.0,520.0,167.0,64.0,1079,19,6.47,128.0,4200.0,4.1,16798.0,P30 Pro 8/128GB Aurora
704,111171.0,24.0,520.0,167.0,64.0,1089,1,6.47,256.0,4200.0,4.1,15560.0,P30 Pro 8/256GB Black (51093NFN)
705,111171.0,24.0,520.0,167.0,64.0,1057,18,6.47,256.0,4200.0,4.1,18484.0,P30 Pro NEW EDITION 8/256GB Silver Frost
716,117685.0,148.0,587.0,218.0,128.0,238,1,5.2,16.0,2680.0,5.1,3487.0,P8 Prestige Gold
717,117685.0,148.0,587.0,218.0,128.0,794,25,5.5,16.0,2400.0,5.1,1631.0,POP 2F B1F 1/16GB Midnight Black (4895180746659)
722,113740.0,47.0,610.0,219.0,128.0,895,9,5.0,64.0,2700.0,5.0,6667.0,Pixel 2 64GB Just Black
723,113740.0,47.0,610.0,219.0,128.0,1050,8,6.0,64.0,3520.0,5.0,12909.0,Pixel 2 XL 64GB Just Black
727,117350.0,66.0,680.0,210.0,64.0,588,2,5.0,32.0,2770.0,5.0,4729.0,Pixel 32GB (Quite Black)
729,110305.0,40.0,845.0,200.0,128.0,510,9,6.0,64.0,3700.0,5.0,11774.0,Pixel 3a XL 4/64GB Just Black
730,117741.0,154.0,675.0,215.0,256.0,1065,21,5.7,64.0,2800.0,5.0,17187.0,Pixel 4 6/64GB Just Black
731,111686.0,64.0,800.0,190.0,128.0,734,6,6.3,128.0,3700.0,4.2,25548.0,Pixel 4 XL 6/128GB Just Black
732,106975.0,57.0,950.0,185.0,64.0,1019,4,6.3,64.0,3700.0,4.2,19369.0,Pixel 4 XL 6/64GB Oh So Orange
754,145761.0,64.0,647.0,248.0,128.0,973,5,6.59,128.0,6000.0,5.0,18618.0,ROG Phone 3 Strix 12/128GB Black (90AI0031-M00010)
755,99554.0,40.0,845.0,183.0,128.0,1140,7,6.59,128.0,6000.0,5.0,18993.0,ROG Phone 3 ZS661KS 12/128GB Black (90AI0032-M00180)
756,99554.0,40.0,845.0,183.0,128.0,1002,5,6.59,256.0,6000.0,5.0,21964.0,ROG Phone 3 ZS661KS 12/256GB Black
757,99554.0,40.0,845.0,183.0,128.0,1088,11,6.59,512.0,6000.0,5.0,28384.0,ROG Phone 3 ZS661KS 12/512GB Black
758,99554.0,40.0,845.0,183.0,128.0,112,1,6.0,512.0,4000.0,5.0,17510.0,ROG Phone 8/512GB DualSim Black
759,99554.0,40.0,845.0,183.0,128.0,121,1,6.0,512.0,4000.0,5.0,17510.0,ROG Phone 8/512GB DualSim Black
762,111960.0,242.0,903.0,225.0,1024.0,966,7,6.53,128.0,5020.0,5.3,5761.0,Redmi 10x 4G 6/128GB Blue
763,111960.0,242.0,903.0,225.0,1024.0,580,2,5.0,16.0,4100.0,5.3,2358.0,Redmi 4x 2/16GB Black
764,111960.0,242.0,903.0,225.0,1024.0,597,2,5.0,16.0,4100.0,5.3,2358.0,Redmi 4x 2/16GB Gold
765,183521.0,48.0,650.0,265.0,64.0,1093,4,5.0,64.0,4100.0,5.0,2826.0,Redmi 4x 4/64GB Black
766,183521.0,48.0,650.0,265.0,64.0,850,4,5.0,64.0,4100.0,5.0,2826.0,Redmi 4x 4/64GB Gold
767,183521.0,48.0,650.0,265.0,64.0,636,1,5.7,32.0,3300.0,5.0,2950.0,Redmi 5 3/32GB Black
768,183521.0,48.0,650.0,265.0,64.0,743,4,5.7,32.0,3300.0,5.0,3882.0,Redmi 5 3/32GB Gold
769,183521.0,48.0,650.0,265.0,64.0,608,2,5.9,64.0,4000.0,5.0,3463.0,Redmi 5 Plus 4/64GB Black
770,183521.0,48.0,650.0,265.0,64.0,859,4,5.9,64.0,4000.0,5.0,4265.0,Redmi 5 Plus 4/64GB Gold
771,183521.0,48.0,650.0,265.0,64.0,715,2,5.0,16.0,3080.0,5.0,2420.0,Redmi 5A 2/16GB Gold
772,183521.0,48.0,650.0,265.0,64.0,141,2,5.0,32.0,3080.0,5.0,2400.0,Redmi 5A 3/32GB Gold
773,183521.0,48.0,650.0,265.0,64.0,358,3,5.0,32.0,3080.0,5.0,2749.0,Redmi 5A 3/32GB Gray
774,183521.0,48.0,650.0,265.0,64.0,366,3,5.0,32.0,3080.0,5.0,2749.0,Redmi 5A 3/32GB Gray
775,183521.0,48.0,650.0,265.0,64.0,878,5,5.45,32.0,3000.0,5.0,2794.0,Redmi 6 3/32GB Black
776,183521.0,48.0,650.0,265.0,64.0,758,5,5.45,32.0,3000.0,5.0,2794.0,Redmi 6 3/32GB Gold
777,183521.0,48.0,650.0,265.0,64.0,667,1,5.45,64.0,3000.0,5.0,3054.0,Redmi 6 3/64GB Black
778,183521.0,48.0,650.0,265.0,64.0,343,2,5.45,64.0,3000.0,5.0,3193.0,Redmi 6 3/64GB Gold
779,183521.0,48.0,650.0,265.0,64.0,362,2,5.45,64.0,3000.0,5.0,3193.0,Redmi 6 3/64GB Gold
780,183521.0,48.0,650.0,265.0,64.0,760,5,5.45,64.0,3000.0,5.0,3480.0,Redmi 6 4/64GB Black
781,183521.0,48.0,650.0,265.0,64.0,657,2,5.84,32.0,4000.0,5.0,3317.0,Redmi 6 Pro 3/32GB Black
782,183521.0,48.0,650.0,265.0,64.0,733,3,5.84,64.0,4000.0,5.0,3627.0,Redmi 6 Pro 4/64GB Black
783,183521.0,48.0,650.0,265.0,64.0,176,4,6.26,64.0,4000.0,5.0,3671.0,Redmi 7 4/64GB Blue
784,183521.0,48.0,650.0,265.0,64.0,212,4,6.26,64.0,4000.0,5.0,3671.0,Redmi 7 4/64GB Blue
800,129837.0,5.0,450.0,180.0,16.0,976,8,6.53,64.0,5020.0,4.0,4316.0,Redmi 9 4/64Gb Pink (no NFC)
801,110737.0,64.0,800.0,186.0,128.0,1015,13,6.53,128.0,5020.0,4.2,5179.0,Redmi 9 6/128GB Grey (no NFC)
802,110737.0,64.0,800.0,186.0,128.0,1142,62,6.53,32.0,5000.0,4.2,3163.0,Redmi 9A 2/32GB Granite Gray
803,109169.0,64.0,800.0,200.0,128.0,934,36,6.53,32.0,5000.0,4.2,3490.0,Redmi 9C 2/32GB Midnight Gray
804,109169.0,64.0,800.0,200.0,128.0,1123,10,6.53,64.0,5000.0,4.2,3778.0,Redmi 9C 3/64GB Midnight Gray
805,97597.0,64.0,647.0,183.0,128.0,863,29,6.53,32.0,5000.0,5.0,3484.0,Redmi 9C NFC 2/32GB Midnight Gray
806,110279.0,43.0,600.0,180.0,64.0,796,3,6.53,64.0,5000.0,4.2,4256.0,Redmi 9C NFC 3/64GB Midnight Gray
807,110279.0,70.0,1000.0,180.0,64.0,1107,10,6.53,128.0,6000.0,4.2,6064.0,Redmi 9T 4/128GB Twilight Blue
808,114379.0,48.0,650.0,194.0,32.0,544,2,6.53,64.0,6000.0,5.0,5495.0,Redmi 9T 4/64GB Sunrise Orange
820,107878.0,64.0,800.0,175.0,128.0,717,4,5.9,32.0,4000.0,5.0,3671.0,Redmi Note 5 3/32GB Gold
